file,channel,calibrated,scan_x_um,scan_y_um,rows,cols,pixel_x_nm,pixel_y_nm,poly_degree,sigma_clip,fit_pixels_retained_pct,row_method,despike,despike_mad_k,despiked_pixels,despiked_pct,Sa_nm,Sq_RMS_nm,Sz_nm,Sz_p99p5_nm,Ssk,Sku,figure_png,processed_npz
28_0630_mixed_ps2_5um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,100.0,median,True,3.0,3378,5.1544189453125,0.37826312918683463,0.4904808781998417,6.0664608353317195,2.5693718533440366,-0.47207918290224776,6.050758047968999,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/28_0630_mixed_ps2_5um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/28_0630_mixed_ps2_5um_1.0_00000_rms_processed_height.npz
30_0631_mixed_ps10min_1um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,256,256,3.90625,3.90625,2,3.5,99.810791015625,median,True,3.0,7503,11.44866943359375,0.1881604251019592,0.23694439141684326,1.7807422447248573,1.2052340759985491,0.3140622302981265,3.0723128660857766,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_1um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_1um_1.0_00000_rms_processed_height.npz
30_0631_mixed_ps10min_5um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.7589111328125,median,True,3.0,3450,5.2642822265625,0.1582771102575456,0.19817677121288318,1.5309705691634217,1.009619285881683,0.15230168587525228,2.957705318738184,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_5um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_5um_1.0_00000_rms_processed_height.npz
30_0631_mixed_ps10min_5um_1.0_00001.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.8016357421875,median,True,3.0,2901,4.42657470703125,0.16339416809317558,0.20434958193173564,1.6085030307906305,1.0351749710222995,0.15162175431031055,2.9183112750051667,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_5um_1.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/30_0631_mixed_ps10min_5um_1.0_00001_rms_processed_height.npz
33_0702_50W_1um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,256,256,3.90625,3.90625,2,3.5,99.8779296875,median,True,3.0,5577,8.50982666015625,0.23946162280936292,0.3052663588196551,2.8406638602892613,1.6287384715962796,0.5789432785055805,3.7723219976528872,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_1um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_1um_1.0_00000_rms_processed_height.npz
33_0702_50W_1um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,256,256,3.90625,3.90625,2,3.5,99.7528076171875,median,True,3.0,5564,8.489990234375,0.19144320726036676,0.24556880230684364,2.409710627570563,1.3221673742707667,0.47212806309508637,3.9655396195799986,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_1um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_1um_2.0_00000_rms_processed_height.npz
33_0702_50W_5um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.810791015625,median,True,3.0,2622,4.0008544921875,0.16167296552770521,0.20251491469868826,1.7319395223972003,1.0309482895854816,0.1474495580433475,2.966703775903813,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00000_rms_processed_height.npz
33_0702_50W_5um_2.0_00001.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.96490478515625,median,True,3.0,2664,4.06494140625,0.1598545153276245,0.20001505484608395,1.6493122702279401,1.0164162584855279,0.15336518902817112,2.955971019092759,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00001_rms_processed_height.npz
33_0702_50W_5um_2.0_00002.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.83367919921875,median,True,3.0,2756,4.205322265625,0.160138587181181,0.20071702546141207,1.6507873620789368,1.0192775858460381,0.14657682252667845,2.955241896495615,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00002_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00002_rms_processed_height.npz
33_0702_50W_5um_2.0_00003.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.8077392578125,median,True,3.0,2480,3.7841796875,0.1607438697076115,0.20131039365836909,1.6477864563683828,1.026819415796168,0.1397120553734349,2.949996404697364,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00003_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00003_rms_processed_height.npz
33_0702_50W_5um_2.0_00004.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.81842041015625,median,True,3.0,2835,4.32586669921875,0.1584221934399601,0.19834457877853462,1.688717561381768,1.0158968538853526,0.14611370209605862,2.9697655016137423,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00004_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00004_rms_processed_height.npz
33_0702_50W_5um_2.0_00005.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.79095458984375,median,True,3.0,2941,4.48760986328125,0.15670271066189334,0.19625532505014656,1.6456166549329359,1.0000673105327693,0.160292972168787,2.9766860030490254,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00005_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00005_rms_processed_height.npz
33_0702_50W_5um_2.0_00006.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.7833251953125,median,True,3.0,2816,4.296875,0.15850556680546563,0.19883293238796262,1.5771436848862392,1.014760970774632,0.153818093536212,2.969716812517406,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00006_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00006_rms_processed_height.npz
33_0702_50W_5um_2.0_00007.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,256,256,19.53125,19.53125,2,3.5,99.80621337890625,median,True,3.0,2449,3.73687744140625,0.15992761346218434,0.200298583596104,1.574029777117095,1.022471232118666,0.14631913194356783,2.9620934735110183,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00007_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/33_0702_50W_5um_2.0_00007_rms_processed_height.npz
