file,channel,calibrated,mode,scan_x_um,scan_y_um,rows,cols,pixel_x_nm,pixel_y_nm,poly_degree,fit_pixels_retained_pct,row_method,despike,despiked_pixels,threshold_nm,threshold_method,h_min_nm,auto_otsu_nm,auto_robust_nm,min_area_nm2,min_area_pixels,min_distance_nm,watershed,edge_grains_excluded,grain_count,grain_density_per_um2,area_fraction,mean_area_um2,median_area_um2,mean_equiv_diameter_nm,median_equiv_diameter_nm,std_equiv_diameter_nm,per_grain_csv,arrays_npz,figure_png
30_0631_mixed_ps10min_5um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.7589111328125,median,True,107,0.4271028247908694,"auto=max(otsu, median+sigma*MAD)",,0.030594532006400443,0.4271028247908694,3051.7578125,8,58.59375,True,True,4,0.16,0.0005340576171875,0.003337860107421875,0.0030517578125,65.02453636789033,62.334731312723854,5.379610110332944,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00000_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00000_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00000_grain_map.png
30_0631_mixed_ps10min_5um_1.0_00001.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.8016357421875,median,True,75,0.43572697094548896,"auto=max(otsu, median+sigma*MAD)",,0.02857719452319929,0.43572697094548896,3051.7578125,8,58.59375,True,True,5,0.2,0.0006561279296875,0.0032806396484375,0.0030517578125,64.48657535685703,62.334731312723854,4.811669559659842,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00001_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00001_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/30_0631_mixed_ps10min_5um_1.0_00001_grain_map.png
33_0702_50W_1um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,threshold,1.0,1.0,256,256,3.90625,3.90625,2,99.8779296875,median,True,210,0.6241659104464712,"auto=max(otsu, median+sigma*MAD)",,0.07995585625315721,0.6241659104464712,122.0703125,8,11.71875,True,True,49,49.0,0.01312255859375,0.0002678073182397959,0.00018310546875,17.314416351696096,15.268828496966247,6.4847559438665,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_1.0_00000_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_1.0_00000_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_1.0_00000_grain_map.png
33_0702_50W_1um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,threshold,1.0,1.0,256,256,3.90625,3.90625,2,99.7528076171875,median,True,109,0.4900246820337674,"auto=max(otsu, median+sigma*MAD)",,0.03489972911401601,0.4900246820337674,122.0703125,8,11.71875,True,True,47,47.0,0.0202789306640625,0.0004314666098736702,0.000274658203125,21.56208302459787,18.700419393817157,9.288299677695544,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_2.0_00000_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_2.0_00000_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_1um_2.0_00000_grain_map.png
33_0702_50W_5um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.810791015625,median,True,60,0.42867967179823174,"auto=max(otsu, median+sigma*MAD)",,0.029331173865152105,0.42867967179823174,3051.7578125,8,58.59375,True,True,2,0.08,0.0002593994140625,0.00324249267578125,0.00324249267578125,64.22534906736327,64.22534906736327,2.673737269874434,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00000_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00000_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00000_grain_map.png
33_0702_50W_5um_2.0_00001.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.96490478515625,median,True,59,0.4239191218795545,"auto=max(otsu, median+sigma*MAD)",,0.030022476399013176,0.4239191218795545,3051.7578125,8,58.59375,True,True,3,0.12,0.00042724609375,0.0035603841145833335,0.0030517578125,67.00453503675965,62.334731312723854,8.088337311404349,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00001_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00001_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00001_grain_map.png
33_0702_50W_5um_2.0_00002.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.83367919921875,median,True,39,0.4282552547663584,"auto=max(otsu, median+sigma*MAD)",,0.029778676322941344,0.4282552547663584,3051.7578125,8,58.59375,True,True,1,0.04,0.000152587890625,0.003814697265625,0.003814697265625,69.69234828721763,69.69234828721763,,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00002_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00002_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00002_grain_map.png
33_0702_50W_5um_2.0_00003.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.8077392578125,median,True,42,0.4273833627379426,"auto=max(otsu, median+sigma*MAD)",,0.02389511123351734,0.4273833627379426,3051.7578125,8,58.59375,True,True,2,0.08,0.0002593994140625,0.00324249267578125,0.00324249267578125,64.22534906736327,64.22534906736327,2.673737269874434,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00003_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00003_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00003_grain_map.png
33_0702_50W_5um_2.0_00004.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.81842041015625,median,True,51,0.4209692807310185,"auto=max(otsu, median+sigma*MAD)",,0.025648083936467392,0.4209692807310185,3051.7578125,8,58.59375,True,True,2,0.08,0.0004425048828125,0.00553131103515625,0.00553131103515625,83.90822234387763,83.90822234387763,2.0465420989178345,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00004_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00004_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00004_grain_map.png
33_0702_50W_5um_2.0_00005.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.79095458984375,median,True,54,0.41529240397997136,"auto=max(otsu, median+sigma*MAD)",,0.027596783066508868,0.41529240397997136,3051.7578125,8,58.59375,True,True,2,0.08,0.0003204345703125,0.00400543212890625,0.00400543212890625,70.89811707362969,70.89811707362969,12.110456282905687,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00005_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00005_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00005_grain_map.png
33_0702_50W_5um_2.0_00006.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.7833251953125,median,True,44,0.4218616585816442,"auto=max(otsu, median+sigma*MAD)",,0.02956755585300519,0.4218616585816442,3051.7578125,8,58.59375,True,True,1,0.04,0.0001983642578125,0.0049591064453125,0.0049591064453125,79.46150283453554,79.46150283453554,,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00006_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00006_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00006_grain_map.png
33_0702_50W_5um_2.0_00007.spm,"s [zsensor] ""height sensor""",True,threshold,5.0,5.0,256,256,19.53125,19.53125,2,99.80621337890625,median,True,75,0.42526508910164296,"auto=max(otsu, median+sigma*MAD)",,0.02669745985978067,0.42526508910164296,3051.7578125,8,58.59375,True,True,0,0.0,0.0,,,,,,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00007_grains.csv,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00007_grain_arrays.npz,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_grain_outputs/33_0702_50W_5um_2.0_00007_grain_map.png
